model,method,dataset,budget,metric,score,full_score,retention_percent,num_samples,num_success,num_failed,avg_input_tokens,avg_output_tokens
meta-llama/Meta-Llama-3-8B-Instruct,2mean,gov_report,1024,ROUGE-L,15.54016323799142,15.618701324041847,99.49715354419682,19,19,0,10550.684210526315,402.63157894736844
meta-llama/Meta-Llama-3-8B-Instruct,2mean,gov_report,2048,ROUGE-L,16.11498962540644,15.618701324041847,103.17752603797254,19,19,0,10550.684210526315,411.8421052631579
meta-llama/Meta-Llama-3-8B-Instruct,2mean,gov_report,4096,ROUGE-L,15.498647342795897,15.618701324041847,99.231344663329,19,19,0,10550.684210526315,427.1578947368421
meta-llama/Meta-Llama-3-8B-Instruct,2mean,gov_report,512,ROUGE-L,15.22944218540822,15.618701324041847,97.50773684343113,19,19,0,10550.684210526315,353.10526315789474
meta-llama/Meta-Llama-3-8B-Instruct,2mean,hotpotqa,1024,F1,6.432748538011697,5.555555555555555,115.78947368421055,19,19,0,13229.578947368422,27.36842105263158
meta-llama/Meta-Llama-3-8B-Instruct,2mean,hotpotqa,2048,F1,5.555555555555555,5.555555555555555,100.0,19,19,0,13229.578947368422,28.473684210526315
meta-llama/Meta-Llama-3-8B-Instruct,2mean,hotpotqa,4096,F1,5.8171745152354575,5.555555555555555,104.70914127423825,19,19,0,13229.578947368422,29.05263157894737
meta-llama/Meta-Llama-3-8B-Instruct,2mean,hotpotqa,512,F1,6.06015037593985,5.555555555555555,109.08270676691731,19,19,0,13229.578947368422,29.05263157894737
meta-llama/Meta-Llama-3-8B-Instruct,2mean,multifieldqa_en,1024,F1,20.546491663834203,20.907052155973638,98.27541209803499,19,19,0,8259.21052631579,35.578947368421055
meta-llama/Meta-Llama-3-8B-Instruct,2mean,multifieldqa_en,2048,F1,21.44015368449851,20.907052155973638,102.54986463202826,19,19,0,8259.21052631579,34.421052631578945
meta-llama/Meta-Llama-3-8B-Instruct,2mean,multifieldqa_en,4096,F1,21.257929348956097,20.907052155973638,101.67827195515082,19,19,0,8259.21052631579,37.526315789473685
meta-llama/Meta-Llama-3-8B-Instruct,2mean,multifieldqa_en,512,F1,20.980175267102265,20.907052155973638,100.34975333003958,19,19,0,8259.21052631579,33.473684210526315
meta-llama/Meta-Llama-3-8B-Instruct,2mean,narrativeqa,1024,F1,6.908972836950675,6.11772709622969,112.93365539644003,19,19,0,22870.263157894737,90.10526315789474
meta-llama/Meta-Llama-3-8B-Instruct,2mean,narrativeqa,2048,F1,6.965527025109946,6.11772709622969,113.85808676236553,19,19,0,22870.263157894737,99.52631578947368
meta-llama/Meta-Llama-3-8B-Instruct,2mean,narrativeqa,4096,F1,6.154141334196736,6.11772709622969,100.59522494864943,19,19,0,22870.263157894737,97.47368421052632
meta-llama/Meta-Llama-3-8B-Instruct,2mean,narrativeqa,512,F1,4.589598997493734,6.11772709622969,75.02130979857323,19,19,0,22870.263157894737,90.15789473684211
