method,budget,task_average,qa_average,gov_report_rouge_l,mean_retention_percent,minimum_task_retention_percent,total_success
2mean,1024,22.29796331149707,23.649523326198203,15.54016323799142,103.15620120006996,89.87740991343485,114
2mean,2048,22.927281285484188,24.28973961749974,16.11498962540644,103.0592494784493,98.77001943832943,114
2mean,4096,22.534624516094862,23.941819950754656,15.498647342795897,100.47345893070695,96.62677074287423,114
2mean,512,21.249710408684376,22.453764053339604,15.22944218540822,94.41487459092487,75.02130979857323,114
fier,1024,22.501709495810136,23.83515184723594,15.834497738681101,99.67811347609899,97.44664674400492,114
fier,2048,22.53135049189351,23.970810480766385,15.334050547529124,99.33693137544729,97.22128136001915,114
fier,4096,22.583757075779687,23.976204660081414,15.621519154271033,100.27783430989375,97.28578696544213,114
fier,512,21.947365410867857,23.385525418755048,14.756565371431897,96.98628042897792,91.00322338784098,114
full,,22.710791620724148,24.129209680060608,15.618701324041847,100.0,100.0,114
quest,1024,22.4725532529354,23.288276454126684,18.393937246978975,102.89493304077781,87.17948717948718,114
quest,2048,22.357386703814992,23.362639970171017,17.331120372034867,102.72363336482857,87.17948717948718,114
quest,4096,22.982869908472434,24.08110083257561,17.49171528795655,102.9482507925624,97.14363459924465,114
quest,512,21.566419534111322,22.525792925434395,16.76955257749599,101.21747790476336,87.17948717948718,113
