model,method,dataset,budget,metric,score,full_score,retention_percent,num_samples,num_success,num_failed,avg_input_tokens,avg_output_tokens
meta-llama/Llama-3.1-8B-Instruct,popkv,gov_report,1024,ROUGE-L,38.088657103600994,38.38674847457358,99.22345240787968,12,12,0,11060.416666666666,475.1666666666667
meta-llama/Llama-3.1-8B-Instruct,popkv,gov_report,2048,ROUGE-L,38.27574942408334,38.38674847457358,99.71084018599865,12,12,0,11060.416666666666,459.5833333333333
meta-llama/Llama-3.1-8B-Instruct,popkv,gov_report,4096,ROUGE-L,37.08241974865489,38.38674847457358,96.60213803525808,12,12,0,11060.416666666666,470.6666666666667
meta-llama/Llama-3.1-8B-Instruct,popkv,gov_report,512,ROUGE-L,39.00913375232151,38.38674847457358,101.62135451029457,12,12,0,11060.416666666666,484.9166666666667
meta-llama/Llama-3.1-8B-Instruct,popkv,hotpotqa,1024,F1,58.7962962962963,59.02777777777777,99.60784313725492,12,12,0,13409.166666666666,5.416666666666667
meta-llama/Llama-3.1-8B-Instruct,popkv,hotpotqa,2048,F1,58.7962962962963,59.02777777777777,99.60784313725492,12,12,0,13409.166666666666,5.416666666666667
meta-llama/Llama-3.1-8B-Instruct,popkv,hotpotqa,4096,F1,50.694444444444436,59.02777777777777,85.88235294117646,12,12,0,13409.166666666666,5.166666666666667
meta-llama/Llama-3.1-8B-Instruct,popkv,hotpotqa,512,F1,53.24074074074074,59.02777777777777,90.19607843137256,12,12,0,13409.166666666666,5.916666666666667
meta-llama/Llama-3.1-8B-Instruct,popkv,multifieldqa_en,1024,F1,54.19473727923938,57.02769151138716,95.03231823511196,12,12,0,8073.333333333333,14.0
meta-llama/Llama-3.1-8B-Instruct,popkv,multifieldqa_en,2048,F1,54.4618312963334,57.02769151138716,95.50067669398572,12,12,0,8073.333333333333,13.25
meta-llama/Llama-3.1-8B-Instruct,popkv,multifieldqa_en,4096,F1,57.02769151138716,57.02769151138716,100.0,12,12,0,8073.333333333333,12.25
meta-llama/Llama-3.1-8B-Instruct,popkv,multifieldqa_en,512,F1,54.140786749482395,57.02769151138716,94.93771414308728,12,12,0,8073.333333333333,13.5
meta-llama/Llama-3.1-8B-Instruct,popkv,narrativeqa,1024,F1,35.386904761904766,34.52424085576259,102.49871940630429,12,12,0,25076.75,10.416666666666666
meta-llama/Llama-3.1-8B-Instruct,popkv,narrativeqa,2048,F1,40.32781228433402,34.52424085576259,116.81013480591199,12,12,0,25076.75,10.333333333333334
meta-llama/Llama-3.1-8B-Instruct,popkv,narrativeqa,4096,F1,34.52424085576259,34.52424085576259,100.0,12,12,0,25076.75,9.75
meta-llama/Llama-3.1-8B-Instruct,popkv,narrativeqa,512,F1,35.3042328042328,34.52424085576259,102.25925879653343,12,12,0,25076.75,10.416666666666666
