method,budget,task_average,qa_average,gov_report_rouge_l,mean_retention_percent,minimum_task_retention_percent,total_success
popkv,1024,54.504946501300246,57.7882043808401,38.088657103600994,98.81431051183955,94.39968404423385,72
popkv,2048,56.02441374079663,59.57414660413929,38.27574942408334,101.8248005560615,95.50067669398572,72
popkv,4096,53.91017240044752,57.27572293080605,37.08241974865489,96.93982550049049,85.88235294117646,72
popkv,512,54.489054083524486,57.58503814976508,39.00913375232151,98.37775750811984,90.19607843137256,72
fier,1024,53.720024479330526,56.9969570613319,37.335361569323624,97.2174805666707,85.88235294117646,72
fier,2048,54.28248268086798,57.41103573628014,38.63971740380709,98.44617326196361,85.88235294117646,72
fier,4096,53.99662129521381,57.29588422112862,37.50030666563976,97.15072390080024,85.88235294117646,72
fier,512,53.75771120492302,57.316289774654386,35.96481835626613,97.63920356638518,93.6907130336614,72
full,,55.60097694871865,59.043822643547664,38.38674847457358,100.0,100.0,72
quest,1024,53.16458006590566,56.07182190530864,38.628370868890755,96.99040843174573,87.64612954186417,72
quest,2048,52.04948747431214,54.836798137213734,38.11293415980409,95.33989819864757,85.3372220196865,72
quest,4096,54.382598031802935,57.639712294667525,38.09702671748001,98.76692093016959,85.88235294117646,72
quest,512,53.71089668617197,56.95393642918522,37.49569797110576,97.47303575899961,90.99526066350711,72
